Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
Should I avoid certain foods in the first year?,පළමු වසර තුළ මම ඇතැම් ආහාර වළක්වා ගත යුතුද?,"Avoid honey, cow's milk as main drink, and choking hazards.","මී පැණි, ප්‍රධාන පානයක් ලෙස එළකිරි සහ හුස්ම හිරවීමේ අන්තරායන් වළක්වන්න."
How can I encourage healthy eating habits?,සෞඛ්‍ය සම්පන්න ආහාර පුරුදු දිරිමත් කරන්නේ කෙසේද?,Eat meals together as a family and model healthy choices.,පවුලක් ලෙස එකට ආහාර ගන්න සහ සෞඛ්‍ය සම්පන්න තෝරාගැනීම් ආදර්ශයක් කරන්න.
What vitamins does my child need?,මගේ දරුවාට අවශ්‍ය විටමින් මොනවාද?,"Vitamin D is often recommended; consult your pediatrician.","විටමින් D බොහෝ විට නිර්දේශ කෙරේ; ඔබේ ළමා වෛද්‍යවරයා හමුවන්න."
How do I introduce allergenic foods?,අසාත්මිකතා ඇති කරන ආහාර හඳුන්වා දෙන්නේ කෙසේද?,"Introduce one at a time around 6 months; peanuts, eggs, fish, etc.","මාස 6 දී පමණ එකවර එකක්; රටකජු, බිත්තර, මාළු ආදිය හඳුන්වා දෙන්න."
Is organic food necessary for babies?,බිළිඳුන් සඳහා කාබනික ආහාර අවශ්‍යද?,"Not necessary, but wash all produce thoroughly.","අවශ්‍ය නැත, නමුත් සියලුම නිෂ්පාදන හොඳින් සෝදා ගන්න."
How much sugar is okay for toddlers?,දරුවන් සඳහා සීනි කොපමණ ප්‍රමාණයක් සුදුසුද?,Limit added sugars; natural sugars from fruit are fine.,එකතු කළ සීනි සීමා කරන්න; පලතුරු වලින් ස්වභාවික සීනි සුදුසුය.
What if my child refuses vegetables?,මගේ දරුවා එළවළු ප්‍රතික්ෂේප කරන්නේ නම්?,Keep offering in different forms; mix into favorite dishes.,විවිධ ආකාරවලින් ඉදිරිපත් කරන්න; ප්‍රියතම කෑමවලට මිශ්‍ර කරන්න.
How often should my baby eat solids?,මගේ දරුවා ඝන ආහාර කොපමණ වාරයක් ගත යුතුද?,"Start with once daily, gradually increase to 3 meals by 9-12 months.","දිනකට එක් වරක් ආරම්භ කර, මාස 9-12 වන විට ක්‍රමයෙන් ආහාර වේල 3 දක්වා වැඩි කරන්න."
Can my toddler be vegetarian?,මගේ දරුවා නිර්මාංශ වෙන්න පුළුවන්ද?,"Yes, but ensure adequate protein, iron, and B12 intake.","ඔව්, නමුත් ප්‍රමාණවත් ප්‍රෝටීන්, යකඩ සහ B12 ප්‍රමාණය සහතික කරන්න."
What are signs my baby is full?,මගේ දරුවා පිරී ඇති බවට සලකුණු මොනවාද?,"Turning head away, closing mouth, losing interest, or spitting out food.","හිස හරවා ගැනීම, මුඛය වැසීම, උනන්දුව නැතිවීම හෝ ආහාර පිටකිරීම."
How do I handle food tantrums?,ආහාර කෝපවීම් පාලනය කරන්නේ කෙසේද?,Stay calm; don't use food as reward or punishment.,සන්සුන්ව සිටින්න; ආහාර ත්‍යාගයක් හෝ දඬුවමක් ලෙස භාවිතා නොකරන්න.
Should I give my child multivitamins?,මම මගේ දරුවාට බහු විටමින් ලබා දිය යුතුද?,Only if recommended by your doctor for specific deficiencies.,නිශ්චිත ඌනතා සඳහා ඔබේ වෛද්‍යවරයා නිර්දේශ කළහොත් පමණක්.
How can I make vegetables appealing?,එළවළු ආකර්ෂණීය කරන්නේ කෙසේද?,"Let them help cook, use dips, or serve in fun shapes.","ඔවුන්ට ඉවුම් පිසීමට උදව් කිරීමට ඉඩ දෙන්න, ඩිප් භාවිතා කරන්න හෝ විනෝදජනක හැඩයන්ගෙන් ලබා දෙන්න."
What oils are safe for cooking baby food?,ළදරු ආහාර පිසීම සඳහා ආරක්ෂිත තෙල් මොනවාද?,"Olive oil, avocado oil, and coconut oil are good choices.","ඔලිව් තෙල්, අලිගැට පේර තෙල් සහ පොල් තෙල් හොඳ තෝරා ගැනීම් වේ."
How much fiber does my toddler need?,මගේ දරුවාට තන්තු කොපමණ ප්‍රමාණයක් අවශ්‍යද?,"About 19 grams per day from fruits, vegetables, and whole grains.","පලතුරු, එළවළු සහ සම්පූර්ණ ධාන්‍ය වලින් දිනකට ග්‍රෑම් 19ක් පමණ."
