Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
When should my child know their address?,මගේ දරුවා ඔවුන්ගේ ලිපිනය දැන සිටිය යුත්තේ කවදාද?,By age 4-5 they should know their address for safety.,ආරක්ෂාව සඳහා වයස අවුරුදු 4-5 වන විට ඔවුන් තම ලිපිනය දැන සිටිය යුතුය.
How can I teach responsibility?,වගකීම උගන්වන්නේ කෙසේද?,Give age-appropriate chores like putting toys away or feeding a pet.,සෙල්ලම් බඩු අස් කිරීම හෝ සතෙකුට ආහාර දීම වැනි වයසට ගැලපෙන කාර්යයන් ලබා දෙන්න.
Is it okay to negotiate with my child?,මගේ දරුවා සමඟ සාකච්ඡා කිරීම සුදුසුද?,"Yes, within limits; it teaches them problem-solving and compromise.","ඔව්, සීමාවන් තුළ; එය ඔවුන්ට ගැටළු විසඳීම සහ සම්මුතිය උගන්වයි."
How to teach my child about strangers?,නන්නාඳුනන අය ගැන මගේ දරුවාට උගන්වන්නේ කෙසේද?,Teach them to never go with someone without asking you first.,ඔබෙන් අවසර නොගෙන කිසිවෙකු සමඟ නොයන ලෙස ඔවුන්ට උගන්වන්න.
When should a child start doing homework?,දරුවෙකු ගෙදර වැඩ කිරීම ආරම්භ කළ යුත්තේ කවදාද?,Most start in kindergarten with simple tasks; create a quiet homework space.,බොහෝ දෙනා ළදරු පාසලේදී සරල කාර්යයන්ගෙන් ආරම්භ කරයි; නිස්කලංක ගෙදර වැඩ ඉඩක් නිර්මාණය කරන්න.
How do I teach my child to lose gracefully?,පරාජය භාරගැනීමට මගේ දරුවාට උගන්වන්නේ කෙසේද?,"Model good sportsmanship yourself; say ""Good game, let's try again.""","ඔබම හොඳ ක්‍රීඩා ආත්මය පෙන්වන්න; ""හොඳ සෙල්ලමක්, නැවත උත්සාහ කරමු"" කියන්න."
Why is consistency important in discipline?,විනයේදී අඛණ්ඩව සිටීම වැදගත් ඇයි?,Children feel secure when rules are predictable and consistently enforced.,නීති පුරෝකථනය කළ හැකි සහ අඛණ්ඩව බලාත්මක වන විට දරුවන්ට ආරක්ෂිත බවක් දැනේ.
How can I reduce screen tantrums?,තිර කෝපවීම් අඩු කරන්නේ කෙසේද?,Give a 5-minute warning before screen time ends; use a timer.,තිර කාලය අවසන් වීමට පෙර විනාඩි 5 ක අනතුරු ඇඟවීමක් දෙන්න; ටයිමරයක් භාවිතා කරන්න.
When should my child start packing their own bag?,මගේ දරුවා තමන්ගේම බෑගය පැකැත් වීම ආරම්භ කළ යුත්තේ කවදාද?,Around age 4-5 with your supervision and a checklist.,වයස අවුරුදු 4-5 දී පමණ ඔබේ අධීක්ෂණය සහ පරීක්ෂණ ලැයිස්තුවක් සමඟ.
How to handle a child who won't listen?,සවන් නොදෙන දරුවෙකු පාලනය කරන්නේ කෙසේද?,Get down to their eye level and speak calmly; ensure they repeat instructions.,ඔවුන්ගේ ඇස් මට්ටමට යන්න සහ සන්සුන්ව කතා කරන්න; ඔවුන් උපදෙස් නැවත කීමට සහතික කරන්න.
Should I let my child choose their own clothes?,මගේ දරුවාට ඔවුන්ගේම ඇඳුම් තෝරා ගැනීමට ඉඩ දිය යුතුද?,"Yes, within reason; it builds independence and decision-making skills.","ඔව්, සාධාරණ ලෙස; එය ස්වාධීනත්වය සහ තීරණ ගැනීමේ කුසලතා ගොඩනඟයි."
How do I teach my child about privacy?,පෞද්ගලිකත්වය ගැන මගේ දරුවාට උගන්වන්නේ කෙසේද?,Teach them to knock before entering and respect closed doors.,ඇතුල් වීමට පෙර තට්ටු කිරීමට සහ වසා ඇති දොරවල් ගරු කිරීමට උගන්වන්න.
When can children start staying home alone briefly?,දරුවන්ට කෙටියෙන් නිවසේ තනියම රැඳී සිටිය හැක්කේ කවදාද?,Not recommended before age 10-12; depends on maturity and local laws.,වයස අවුරුදු 10-12 ට පෙර නිර්දේශ කර නැත; පරිණතභාවය සහ ප්‍රාදේශීය නීති මත රඳා පවතී.
How to teach table manners?,මේස ආචාරධර්ම උගන්වන්නේ කෙසේද?,Model them yourself; teach one skill at a time like using utensils.,ඔබම ඒවා ආදර්ශයක් කරන්න; උපකරණ භාවිතය වැනි එක් වරකට එක් කුසලතාවක් උගන්වන්න.
Why does my child test boundaries?,මගේ දරුවා සීමාවන් පරීක්ෂා කරන්නේ ඇයි?,It's how they learn what's acceptable; stay consistent with rules.,එය ඔවුන් පිළිගත හැකි දේ ඉගෙන ගන්නා ආකාරයයි; නීතිවලට අඛණ්ඩව හැසිරෙන්න.
How can I make chores fun?,කාර්යයන් විනෝදජනක කරන්නේ කෙසේද?,"Turn them into games, use music, or create a reward chart.","ඒවා සෙල්ලම් කරන්න, සංගීතය භාවිතා කරන්න හෝ ත්‍යාග ප්‍රස්ථාරයක් නිර්මාණය කරන්න."
