Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
What are the most important things to teach my child?,මගේ දරුවාට උගන්වීමට වඩාත් වැදගත් දේවල් මොනවාද?,"Kindness, empathy, resilience, honesty, and problem-solving skills.","කරුණාව, සංවේදනය, ඔරොත්තු දීම, අවංකවම සහ ගැටළු විසඳීමේ කුසලතා."
How can I strengthen my bond with my child?,මගේ දරුවා සමඟ මගේ බැඳීම ශක්තිමත් කරන්නේ කෙසේද?,"Spend quality one-on-one time, listen actively, show affection, and be consistent.","ගුණාත්මක එක-එක කාලය ගත කරන්න, සක්‍රීයව සවන් දෙන්න, සෙනෙහස පෙන්වන්න, සහ අඛණ්ඩව සිටින්න."
What if I lose my temper with my child?,මම මගේ දරුවා සමඟ මගේ කෝපය නැති කළහොත්?,"Apologize, explain why you got upset, and show better ways to handle frustration.","සමාව ඉල්ලන්න, ඔබ කලබල වූයේ ඇයිද යන්න පැහැදිලි කරන්න, සහ කලකිරීම හැසිරවීමට වඩා හොඳ ක්‍රම පෙන්වන්න."
How do I prepare my child for a new sibling?,නව සහෝදර සහෝදරියෙකු සඳහා මගේ දරුවා සූදානම් කරන්නේ කෙසේද?,"Talk about it positively, involve them in preparations, read books about siblings.","ඒ ගැන ධනාත්මකව කතා කරන්න, සූදානම් කිරීම්වලට ඔවුන් සම්බන්ධ කරන්න, සහෝදර සහෝදරියන් ගැන පොත් කියවන්න."
Should I let grandparents spoil my kids?,මම ආච්චිලාට මගේ දරුවන් නරක් කරන්න ඉඩ දිය යුතුද?,"Some spoiling is fine, but set boundaries on important rules and respect your parenting choices.","යම් නරක් කිරීමක් සුදුසුය, නමුත් වැදගත් නීති සීමාවන් සකසන්න සහ ඔබේ දෙමාපිය තෝරා ගැනීම්වලට ගරු කරන්න."
How do I choose the right daycare or preschool?,නිවැරදි ලීව් අධ්‍යයන මධ්‍යස්ථානය හෝ පෙරපාසල තෝරා ගන්නේ කෙසේද?,"Visit multiple options, check qualifications, ask about curriculum, trust your gut feeling.","විකල්ප කිහිපයක් බලන්න, සුදුසුකම් පරීක්ෂා කරන්න, විෂය මාලාව ගැන විමසන්න, ඔබේ අභ්‍යන්තර හැඟීමට විශ්වාස කරන්න."
What are age-appropriate chores for young children?,කුඩා දරුවන් සඳහා වයසට ගැලපෙන කාර්යයන් මොනවාද?,"Ages 2-3: put toys away; Ages 4-5: set table, sort laundry, water plants.","අවුරුදු 2-3: සෙල්ලම් බඩු ඉවත් කිරීම; අවුරුදු 4-5: මේසය සකස් කිරීම, රෙදි සෝදා වර්ග කිරීම, පැළ වතුර දැමීම."
How do I teach my child about money?,මගේ දරුවාට මුදල් ගැන උගන්වන්නේ කෙසේද?,Start with piggy banks and counting coins. Teach saving vs spending with allowance.,පිගී බැංකු සහ කාසි ගණන් කිරීමෙන් ආරම්භ කරන්න. දීමනාව සමඟ ඉතිරි කිරීම හා වියදම් කිරීම උගන්වන්න.
Should I limit my child's sugar intake?,මම මගේ දරුවාගේ සීනි ප්‍රමාණය සීමා කළ යුතුද?,"Yes, excessive sugar affects behavior, dental health, and sets poor eating habits.","ඔව්, අධික සීනි හැසිරීමට, දන්ත සෞඛ්‍යයට බලපායි සහ දුර්වල ආහාර ගැනීමේ පුරුදු ස්ථාපිත කරයි."
How important is play for child development?,ළමා සංවර්ධනය සඳහා සෙල්ලම් කොතරම් වැදගත්ද?,Extremely important. Play is how children learn social skills and problem-solving.,අතිශයින් වැදගත්. සෙල්ලම් යනු දරුවන් සමාජ කුසලතා සහ ගැටළු විසඳීම ඉගෙන ගන්නා ආකාරයයි.
What if my child prefers one parent over the other?,මගේ දරුවා එක් දෙමාපියෙකුට අනෙකට වඩා කැමති නම්?,This is normal and phases come and go. The less-preferred parent should stay involved without forcing.,මෙය සාමාන්‍ය වන අතර අදියර එන්නට සහ යන්නට පටන් ගනී. අඩුවෙන් කැමති දෙමාපියන් බලකිරීමකින් තොරව සම්බන්ධ විය යුතුය.
How do I protect my child without being overprotective?,අධික ලෙස ආරක්ෂා නොකර මගේ දරුවා ආරක්ෂා කරන්නේ කෙසේද?,Allow age-appropriate risks and independence while supervising from a distance.,දුරින් අධීක්ෂණය කරමින් වයසට ගැලපෙන අවදානම් සහ ස්වාධීනත්වයට ඉඩ දෙන්න.
Should I praise my child for everything?,මම මගේ දරුවා සෑම දෙයක් සඳහාම ප්‍රශංසා කළ යුතුද?,"No, praise effort and progress rather than everything. Make praise specific and genuine.","නැත, සෑම දෙයක්ම වෙනුවට උත්සාහය සහ ප්‍රගතිය ප්‍රශංසා කරන්න. ප්‍රශංසාව නිශ්චිත සහ අව්‍යාජ කරන්න."
What are signs of developmental delays I should watch for?,මම නිරීක්ෂණය කළ යුතු සංවර්ධන ප්‍රමාදයන්හි සං signs මොනවාද?,"Not meeting milestones, lack of eye contact, not responding to name, or losing previously gained skills.","සන්ධිස්ථාන සපුරා නොගැනීම, ඇස් සම්බන්ධතාවක් නොමැතිකම, නමට ප්‍රතිචාර නොදැක්වීම හෝ පෙර ලබා ගත් කුසලතා නැති වීම."
