Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
When should I stop using a stroller?,මම ස්ට්‍රෝලර් (stroller) එකක් භාවිතා කිරීම නැවැත්විය යුත්තේ කවදාද?,Most children can walk longer distances by age 4 or 5.,බොහෝ දරුවන්ට වයස අවුරුදු 4 හෝ 5 වන විට වැඩි දුරක් ඇවිද යා හැකිය.
How can I encourage my child to draw?,මගේ දරුවාට චිත්‍ර ඇඳීමට දිරිමත් කරන්නේ කෙසේද?,Provide plenty of paper and crayons and praise their effort.,ඕනෑතරම් කඩදාසි සහ පාට කූරු ලබා දී ඔවුන්ගේ උත්සාහය අගය කරන්න.
Is it okay for boys to play with dolls?,පිරිමි ළමයින් බෝනික්කන් සමඟ සෙල්ලම් කිරීම සුදුසුද?,"Yes, it helps develop empathy and caregiving skills.","ඔව්, එය අනුකම්පාව සහ රැකවරණය දැක්වීමේ කුසලතා වර්ධනය කිරීමට උපකාරී වේ."
How do I explain death to a 5-year-old?,අවුරුදු 5ක දරුවෙකුට මරණය ගැන පැහැදිලි කරන්නේ කෙසේද?,"Use simple, honest language and avoid confusing metaphors.","සරල, අවංක භාෂාවක් භාවිතා කරන්න; ව්‍යාකූල උපමා භාවිතා කිරීමෙන් වළකින්න."
When can a child jump on both feet?,දරුවෙකුට කකුල් දෙකෙන්ම පැනිය හැක්කේ කවදාද?,Most children can jump with both feet by age 2 or 3.,බොහෝ දරුවන්ට වයස අවුරුදු 2 හෝ 3 වන විට කකුල් දෙකෙන්ම පැනිය හැකිය.
How do I stop my child from screaming?,මගේ දරුවා කෑගැසීම නතර කරන්නේ කෙසේද?,"Use a ""whisper game"" to teach them about indoor voices.","හෙමින් කතා කරන ආකාරය ඉගැන්වීමට ""රහස් කීමේ සෙල්ලම"" භාවිතා කරන්න."
Should my child know the alphabet by age 3?,මගේ දරුවා වයස අවුරුදු 3 වන විට හෝඩිය දැන සිටිය යුතුද?,Not necessarily; many start recognizing letters between 3 and 5.,අනිවාර්ය නැත; බොහෝ දෙනා අකුරු හඳුනා ගැනීමට පටන් ගන්නේ අවුරුදු 3ත් 5ත් අතරය.
How to handle a child who is scared of dogs?,බල්ලන්ට බය දරුවෙකු පාලනය කරන්නේ කෙසේද?,Never force them; look at pictures of dogs first to build comfort.,කිසිවිටෙක බල නොකරන්න; මුලින්ම බල්ලන්ගේ පින්තූර පෙන්වා බිය නැති කරන්න.
Why does my child copy everything I do?,මගේ දරුවා මා කරන සෑම දෙයක්ම අනුකරණය කරන්නේ ඇයි?,Imitation is the primary way young children learn new skills.,අනුකරණය යනු කුඩා දරුවන් නව කුසලතා ඉගෙන ගන්නා ප්‍රධාන ක්‍රමයයි.
When can a child dress themselves?,දරුවෙකුට තනිවම ඇඳුම් ඇඳගත හැක්කේ කවදාද?,Most can manage simple clothing (like socks) by age 3.,බොහෝ දෙනාට වයස අවුරුදු 3 වන විට සරල ඇඳුම් (මේස් වැනි) තනිවම ඇඳගත හැක.
"How to react when a child says a ""bad word""?","දරුවා ""නරක වචනයක්"" පැවසූ විට ප්‍රතිචාර දැක්විය යුත්තේ කෙසේද?",Stay calm and ignore it if they want attention; explain it's not nice.,කලබල නොවන්න; අවධානය ගැනීමට කරන්නේ නම් නොසලකා හරින්න; එය නරක බව පවසන්න.
Does my child need a preschool?,මගේ දරුවාට පෙරපාසලක් අවශ්‍යද?,Preschool helps with social skills and preparing for big school.,සමාජ කුසලතා වර්ධනයට සහ පාසල් යාමට සූදානම් වීමට පෙරපාසල උපකාරී වේ.
How can I help my child make friends?,මගේ දරුවාට මිතුරන් ඇති කර ගැනීමට උදවු කරන්නේ කෙසේද?,"Arrange ""playdates"" so they can practice interacting with peers.",අනෙක් දරුවන් සමඟ සෙල්ලම් කිරීමට අවස්ථා සලසා දෙන්න.
When should my child start counting?,මගේ දරුවා ගණන් කිරීම ආරම්භ කළ යුත්තේ කවදාද?,Most children can count to 10 by age 4.,බොහෝ දරුවන්ට වයස අවුරුදු 4 වන විට 10 දක්වා ගණන් කළ හැක.
Why does my toddler prefer one toy over others?,මගේ දරුවා එක් සෙල්ලම් බඩුවකට වැඩියෙන්ම කැමති ඇයි?,Familiarity brings comfort; this is completely normal.,හුරුපුරුදු බව සුවපහසුව ගෙන දෙයි; මෙය සම්පූර්ණයෙන්ම සාමාන්‍ය දෙයකි.
How do I teach my child to share toys?,සෙල්ලම් බඩු බෙදා ගැනීමට දරුවාට උගන්වන්නේ කෙසේද?,Model sharing yourself and use a timer for taking turns.,ඔබම බෙදාහදා ගන්න සහ මාරුවෙන් මාරුවට සෙල්ලම් කිරීමට කාල සටහනක් යොදා ගන්න.
Is my child's imaginary friend a problem?,මගේ දරුවාගේ මනඃකල්පිත මිතුරා ගැටලුවක්ද?,"No, it shows creativity and is a normal part of development.","නැත, එය නිර්මාණශීලිත්වය පෙන්වන අතර සංවර්ධනයේ සාමාන්‍ය කොටසකි."
When should my child recognize their own name?,මගේ දරුවා තමන්ගේ නම හඳුනා ගත යුත්තේ කවදාද?,Most children respond to their name by 9 to 12 months.,බොහෝ දරුවන් මාස 9 සිට 12 දක්වා කාලය තුළ තම නමට ප්‍රතිචාර දක්වයි.
How can I boost my child's confidence?,මගේ දරුවාගේ ආත්ම විශ්වාසය වර්ධනය කරන්නේ කෙසේද?,Praise their efforts and give them age-appropriate responsibilities.,ඔවුන්ගේ උත්සාහයන් අගය කර වයසට ගැලපෙන වගකීම් ලබා දෙන්න.
Why does my 3-year-old ask so many questions?,මගේ අවුරුදු 3ක දරුවා මෙතරම් ප්‍රශ්න අසන්නේ ඇයි?,They are naturally curious and learning about the world.,ඔවුන් ස්වභාවයෙන්ම කුතුහලශීලී වන අතර ලෝකය ගැන ඉගෙන ගනිමින් සිටිති.
When do children understand cause and effect?,දරුවන් හේතු සහ ප්‍රතිඵල තේරුම් ගන්නේ කවදාද?,Basic understanding starts around 18 months and improves with age.,මූලික අවබෝධය මාස 18 දී පමණ ආරම්භ වන අතර වයස සමඟ වැඩි දියුණු වේ.
How do I handle sibling rivalry?,සහෝදර සහෝදරියන් අතර තරඟකාරිත්වය පාලනය කරන්නේ කෙසේද?,Give each child individual attention and avoid comparisons.,එක් එක් දරුවාට තනි අවධානය ලබා දී සැසඳීම් කිරීමෙන් වළකින්න.
Should I let my child win games?,මම මගේ දරුවාට සෙල්ලම් ජයගන්න ඉඩ දිය යුතුද?,"Sometimes yes, but also teach them how to lose gracefully.","සමහර විට ඔව්, නමුත් පරාජය විඳීම ගැන ද ඔවුන්ට ඉගැන්වන්න."
When can a child understand time concepts?,දරුවෙකුට කාලය පිළිබඳ සංකල්ප තේරුම් ගත හැක්කේ කවදාද?,"Basic time concepts like ""today"" and ""tomorrow"" emerge around age 3-4.","අද සහ හෙට වැනි මූලික කාල සංකල්ප අවුරුදු 3-4 දී පෙනී යති."
How do I teach my child about emotions?,මගේ දරුවාට හැඟීම් ගැන උගන්වන්නේ කෙසේද?,"Name emotions as they happen: ""I see you're feeling angry.""","හැඟීම් සිදුවන විට ඒවා නම් කරන්න: ""ඔයා තරහයි කියලා මම දකිනවා."""
Why does my child talk to toys?,මගේ දරුවා සෙල්ලම් බඩු සමඟ කතා කරන්නේ ඇයි?,This is imaginative play and crucial for social development.,මෙය මනඃකල්පිත ක්‍රීඩාවක් වන අතර සමාජ සංවර්ධනය සඳහා ඉතා වැදගත් වේ.
When should my child know basic shapes?,මගේ දරුවා මූලික හැඩතල දැන සිටිය යුත්තේ කවදාද?,Most children recognize circles and squares by age 2-3.,බොහෝ දරුවන්ට වයස අවුරුදු 2-3 වන විට රවුම් සහ සිව්කෝණ හඳුනාගත හැක.
How can I encourage problem-solving skills?,ගැටලු විසඳීමේ කුසලතා දිරිමත් කරන්නේ කෙසේද?,Let them try first before helping; ask guiding questions.,උදව් කිරීමට පෙර ඔවුන්ට උත්සාහ කරන්න ඉඩ දෙන්න; මග පෙන්වන ප්‍රශ්න ඇසීමෙන් මඟ පෙන්වන්න.
Why is my child obsessed with one topic?,මගේ දරුවා එක් මාතෘකාවක් ගැන දැඩි උනන්දුවක් දක්වන්නේ ඇයි?,Deep interests help children learn and develop expertise.,ගැඹුරු උනන්දුව දරුවන්ට ඉගෙන ගැනීමට සහ ප්‍රවීණත්වය වර්ධනය කිරීමට උපකාරී වේ.
When do children understand rules?,දරුවන් නීති තේරුම් ගන්නේ කවදාද?,Basic rule understanding starts around age 3 but develops gradually.,මූලික නීති අවබෝධය අවුරුදු 3 දී පමණ ආරම්භ වන නමුත් ක්‍රමයෙන් වර්ධනය වේ.
How do I teach my child to wait their turn?,මගේ දරුවාට ඔවුන්ගේ වාරය බලා සිටීමට උගන්වන්නේ කෙසේද?,Use visual timers and practice in everyday situations like lines.,දෘශ්‍ය ටයිමර් භාවිතා කර පෝලිම් වැනි දෛනික තත්ත්වයන්හිදී පුහුණු කරන්න.
