Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
How can I protect my child from sun damage?,මගේ දරුවාව හිරු රශ්මියෙන් ආරක්ෂා කරන්නේ කෙසේද?,"Use baby-safe sunscreen, hats, and try to stay in the shade.","හිරු ආවරණ ක්‍රීම්, තොප්පි භාවිතා කරන්න සහ හැකිතාක් සෙවණේ තබන්න."
When can a child sit in the front seat of a car?,දරුවෙකුට වාහනයක ඉදිරිපස අසුනේ වාඩි විය හැක්කේ කවදාද?,Not until they are at least 13 years old; back seat is safest.,අවම වශයෙන් අවුරුදු 13 වන තුරු ඉදිරිපස වාඩි නොකළ යුතුය; පසුපස අසුන ආරක්ෂිතයි.
How do I encourage my child to wash their hands?,අත් සේදීමට දරුවාව දිරිමත් කරන්නේ කෙසේද?,"Sing a 20-second song (like ""Happy Birthday"") while washing.",අත් සෝදන අතරතුර තත්පර 20ක ගීතයක් ගායනා කිරීමට පුරුදු කරන්න.
"What causes a ""heat rash""?",දහඩිය බිබිලි' (heat rash) ඇතිවීමට හේතුව කුමක්ද?,"Blocked sweat ducts in hot, humid weather; keep skin cool and dry.",රස්නය නිසා දහඩිය පිටවන සිදුරු වැසී යාම මෙයට හේතුවයි; සම වියලිව තබා ගන්න.
How do I help a child with a blocked nose?,නාසය හිර වූ දරුවෙකුට සහනයක් ලබා දෙන්නේ කෙසේද?,Use a saline spray or a humidifier in the room.,සේලයින් නාසයට දමන බිංදු හෝ කාමරයේ ආර්ද්‍රතාවය වැඩි කරන උපකරණයක් භාවිතා කරන්න.
Should I worry about my child's flat feet?,මගේ දරුවාගේ පතුල සමතලා වීම (flat feet) ගැන මම කලබල විය යුතුද?,Most toddlers have flat feet; the arch usually develops by age 6.,බොහෝ දරුවන්ට මෙය පවතී; අවුරුදු 6 වන විට පතුලේ වක්‍රය සාමාන්‍යයෙන් වර්ධනය වේ.
How many hours of sleep does a 4-year-old need?,අවුරුදු 4ක දරුවෙකුට පැය කීයක නින්දක් අවශ්‍යද?,"Around 10 to 13 hours, including naps.",දහවල් නින්දත් සමඟ පැය 10 සිට 13 දක්වා නින්දක් අවශ්‍ය වේ.
How to teach a child to use a tissue?,ටිෂූ එකක් භාවිතා කිරීමට දරුවාට උගන්වන්නේ කෙසේද?,"Show them how to ""catch"" a sneeze and throw the tissue in the bin.",කිවිසුමක් යන විට එය ආවරණය කර ටිෂූ එක කුණු කූඩයට දමන ආකාරය පෙන්වන්න.
Why does my child sweat while sleeping?,මගේ දරුවා නිදා සිටින විට දහඩිය දමන්නේ ඇයි?,"Children spend more time in deep sleep, which can cause sweating.",දරුවන් වැඩි වේලාවක් ගැඹුරු නින්දේ පසුවන බැවින් දහඩිය දැමීම සාමාන්‍ය විය හැක.
When should I take my child to the ER?,මම දරුවාව හදිසි ප්‍රතිකාර අංශයට (ER) රැගෙන යා යුත්තේ කවදාද?,"For difficulty breathing, high fever that won't drop, or severe injury.","හුස්ම ගැනීමේ අපහසුව, අඩු නොවන අධික උණ හෝ බරපතල තුවාලයකදී."
How to teach good hygiene habits?,හොඳ සනීපාරක්ෂක පුරුදු උගන්වන්නේ කෙසේද?,Model the behavior and make it fun with songs and routines.,වර්තමානය ආදර්ශයක් කරන්න සහ ගීත සහ චර්යාවන් සමඟ එය විනෝදජනක කරන්න.
When should my child stop using training wheels?,මගේ දරුවා පුහුණු රෝද (training wheels) භාවිතා කිරීම නැවැත්විය යුත්තේ කවදාද?,Most children are ready between ages 5 and 7 with practice.,බොහෝ දරුවන් අවුරුදු 5 සහ 7 අතර පුහුණුවීම් සමඟ සූදානම් වේ.
Why does my child have bad breath?,මගේ දරුවාට නරක හුස්මක් ඇත්තේ ඇයි?,"Could be poor dental hygiene, dry mouth, or rarely, an infection.","එය දුර්වල දන්ත සනීපාරක්ෂාව, වියළි මුඛය හෝ කලාතුරකින් ආසාදනයක් විය හැක."
How do I protect my child's eyes from screens?,තිර වලින් මගේ දරුවාගේ ඇස් ආරක්ෂා කරන්නේ කෙසේද?,Follow the 20-20-20 rule: every 20 minutes look 20 feet away for 20 seconds.,20-20-20 නීතිය අනුගමනය කරන්න: සෑම විනාඩි 20කට වරක් අඩි 20ක් ඈතින් තත්පර 20ක් බලන්න.
When should a child start brushing independently?,දරුවෙකු තනිවම දත් මැදීම ආරම්භ කළ යුත්තේ කවදාද?,Around age 6-7; supervise until they can write their name well.,වයස අවුරුදු 6-7 දී පමණ; ඔවුන්ට තම නම හොඳින් ලිවිය හැකි වන තුරු අධීක්ෂණය කරන්න.
How often should I change bed sheets?,මම ඇඳ ඇතිරිලි කොපමණ වාරයක් වෙනස් කළ යුතුද?,At least once a week to maintain hygiene and prevent dust mites.,සනීපාරක්ෂාව පවත්වා ගැනීමට සහ දූවිලි කිනිතුල්ලන් වැළැක්වීමට සතියකට වරක්වත්.
Why does my child get so many ear infections?,මගේ දරුවාට මෙතරම් කන ආසාදන ඇති වන්නේ ඇයි?,Young children's ear tubes are shorter and more horizontal; they often outgrow it.,කුඩා දරුවන්ගේ කන නල කෙටි සහ තිරස් වේ; ඔවුන් බොහෝ විට එයින් මිදෙති.
How do I trim my baby's nails safely?,මගේ දරුවාගේ නියපොතු ආරක්ෂිතව කපන්නේ කෙසේද?,Use baby nail clippers while they sleep; cut straight across.,ඔවුන් නිදා සිටියදී බබා නියපොතු කපන්නන් භාවිතා කරන්න; කෙලින්ම කපන්න.
When should I worry about my child's cough?,මගේ දරුවාගේ කැස්ස ගැන කනස්සල්ලට පත් විය යුත්තේ කවදාද?,"If it lasts over 2 weeks, comes with fever, or causes breathing difficulty.","එය සති 2කට වඩා පවතින්නේ නම්, උණ සමඟ එන්නේ නම් හෝ හුස්ම ගැනීමේ අපහසුතාවයක් ඇති කරන්නේ නම්."
How to teach my child to cover coughs?,කැස්ස ආවරණය කිරීමට මගේ දරුවාට උගන්වන්නේ කෙසේද?,Teach them to cough into their elbow; call it the vampire cough.,ඔවුන්ගේ වැලමිටට කැස්සීමට උගන්වන්න; එය වැම්පයර් කැස්ස ලෙස හඳුන්වන්න.
Should I be concerned about my child's posture?,මගේ දරුවාගේ ඉරියව්ව ගැන මම කනස්සල්ලට පත් විය යුතුද?,Encourage good posture early; slouching can become a habit.,හොඳ ඉරියව්වක් කල් තියා දිරිමත් කරන්න; නැමී සිටීම පුරුද්දක් විය හැක.
How much toothpaste should my child use?,මගේ දරුවා දන්තාලේප කොපමණ ප්‍රමාණයක් භාවිතා කළ යුතුද?,"A rice-grain size for under 3, pea-size for 3-6 years.","අවුරුදු 3 ට අඩු අයට සහල් ඇටයක් තරම, අවුරුදු 3-6 අයට ඇට කැබැල්ලක් තරම."
When can my child start using deodorant?,මගේ දරුවා ඩියෝඩරන්ට් භාවිතා කිරීම ආරම්භ කළ හැක්කේ කවදාද?,Usually around age 8-9 when puberty signs appear.,සාමාන්‍යයෙන් වයස අවුරුදු 8-9 දී වැඩිවිය පැමිණීමේ සලකුණු පෙනෙන විට.
How to handle a child who refuses medicine?,ඖෂධ ප්‍රතික්ෂේප කරන දරුවෙකු පාලනය කරන්නේ කෙසේද?,Mix with a small amount of juice or applesauce; never lie about it being medicine.,කුඩා යුෂ හෝ ඇපල්සෝස් සමඟ මිශ්‍ර කරන්න; එය ඖෂධයක් බව ගැන කිසි විටෙක බොරු නොකියන්න.
Why does my child have dark circles under eyes?,මගේ දරුවාගේ ඇස් යට අඳුරු කවයන් ඇත්තේ ඇයි?,"Could be lack of sleep, allergies, or genetics; usually not serious.","එය නින්ද නොමැතිකම, අසාත්මිකතා හෝ ජානමය විය හැක; සාමාන්‍යයෙන් බරපතල නොවේ."
How do I teach proper toilet hygiene?,නිවැරදි වැසිකිළි සනීපාරක්ෂාව උගන්වන්නේ කෙසේද?,Teach front-to-back wiping and handwashing after every use.,සෑම භාවිතයකින් පසුව ඉදිරියෙන් පසුපසට පිස දැමීම සහ අත් සෝදා ගැනීම උගන්වන්න.
When should I buy my child their first pillow?,මගේ දරුවාට ඔවුන්ගේ පළමු කොට්ටය මිලදී ගත යුත්තේ කවදාද?,Around age 18 months to 2 years when transitioning to a toddler bed.,වයස මාස 18 සිට අවුරුදු 2 දක්වා කාලයේ ළදරු ඇඳක වැටීමේදී.
How to prevent playground injuries?,ක්‍රීඩා බිම තුවාල වැළැක්වෙන්නේ කෙසේද?,Always supervise and teach safe play; check equipment for hazards.,සැමවිටම අධීක්ෂණය කරන්න සහ ආරක්ෂිත ක්‍රීඩාව උගන්වන්න; උපකරණවල අන්තරායන් පරීක්ෂා කරන්න.
Why does my child's skin peel after a bath?,නානයෙන් පසු මගේ දරුවාගේ සම පීලිලීම වන්නේ ඇයි?,Water can dry skin; use lukewarm water and moisturize after bathing.,ජලය සම වියලී කළ හැක; මුහුකුරු උණුසුම් ජලය භාවිතා කර නාන්න පසු තෙතමනය කරන්න.
